Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,Y1
19940229,2.33,2.67,2.83,3.50,3.17,3.33,4.00,4.00,3.83,4.00,3.83,3.17,4.17,3.67,2.83,2.67,2.83,3.17,3.17,3.17,2.50,3.17,3.67,4.17,4.33,3.83,3.00,2.33,2.83,3.17,2.67,2.67,2.83,3.50,3.33,4.00,4.00,2.50,2.50,2.00,3.00,2.33,2.67,2.17,2.50,1.83,2.83,2.83,3.50,2.67,3.33,3.83,3.00,2.67,3.17,3.33,3.50,3.17,3.00,3.00,3.33,3.17,3.33,4.00,2.83,3.00,3.67,3.33,3.00,3.67,2.83,4.33,3.83,3.83,2.83,3.50,3.33,3.00,3.67,3.00,4.00,3.33,3.17,3.67,4.17,3.33,3.00,3.17,3.50,3.33,3.50,3.50,3.83,3.33,3.33,3.83,3.50,3.33,3.00,3.17,3.33,3.00,3.00,3.67,3.67,2.67,2.67,3.33,3.00,3.33,2.67,3.33,3.67,3.67,3.67,3.50,3.33,3.67,3.50,3.33,3.67,3.50,3.83,3.67,3.33,3.33,3.33,3.50,3.50,3.33,3.17,3.50,3.33,3.33,3.67,3.33,3.67,3.33,3.50,3.33,3.33,3.83,3.67,3.83,3.50,3.50,4.00,0
19946145,2.67,2.83,2.00,3.17,2.83,3.33,3.00,3.33,3.33,2.67,3.17,3.50,3.83,2.50,2.83,3.17,3.17,3.33,2.83,3.17,2.83,2.67,4.17,4.00,3.50,4.33,2.67,2.50,2.83,2.67,2.83,2.33,2.67,3.00,3.50,4.00,4.00,2.50,1.83,2.33,3.00,2.17,2.33,2.50,2.83,2.00,3.00,2.67,2.33,2.83,3.00,2.50,3.33,3.17,2.50,2.83,3.00,2.83,2.67,2.83,3.17,2.83,2.67,3.17,3.50,3.33,3.33,3.17,3.17,3.00,3.50,2.83,3.33,3.17,3.50,3.00,3.00,3.17,3.00,3.00,3.17,3.17,3.67,3.17,3.17,3.17,3.00,3.50,3.00,3.83,3.00,3.33,3.33,3.67,3.00,3.00,3.33,3.33,3.33,3.50,3.00,3.33,3.17,3.00,3.83,2.83,3.50,3.17,3.17,3.00,3.00,2.83,3.00,3.50,3.17,3.00,3.00,3.33,3.17,3.17,3.17,3.33,3.33,3.33,3.00,3.33,3.33,3.33,3.17,3.17,3.33,3.33,3.00,3.33,3.50,3.17,3.17,3.33,3.17,3.17,3.50,3.17,3.33,3.17,3.50,3.17,3.17,1
19951801,2.63,3.38,2.13,3.38,3.50,3.13,3.00,2.75,2.63,2.75,3.63,3.25,2.88,3.63,2.63,2.50,3.00,2.88,3.00,2.75,3.13,2.63,3.63,4.00,3.38,4.00,3.38,2.75,2.75,2.75,2.88,3.75,3.25,3.75,3.75,4.00,3.38,2.00,1.75,2.00,2.13,2.50,3.00,2.13,2.63,2.00,2.63,2.88,2.63,3.38,3.50,3.63,3.50,3.25,3.13,2.75,3.25,3.13,3.50,3.38,3.25,3.38,2.63,3.50,3.25,3.25,3.38,3.13,3.75,3.50,3.63,3.50,3.25,3.63,3.38,3.00,4.00,3.88,3.63,3.38,3.38,3.75,3.38,3.38,3.25,3.75,4.13,3.75,3.38,3.88,3.75,3.38,3.63,3.25,3.50,3.63,4.13,3.63,3.50,3.38,4.00,3.88,3.50,4.13,3.38,3.88,3.38,3.88,3.75,3.88,3.63,3.75,3.25,3.63,3.25,3.88,4.13,3.63,4.13,4.00,3.75,4.00,3.63,3.63,3.75,3.63,4.13,3.63,3.75,3.88,3.75,3.88,3.88,4.13,3.88,3.88,4.13,4.00,3.75,4.00,3.63,4.00,3.88,3.75,3.88,4.00,4.00,0
19951811,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,1.00,2.00,3.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0
19961811,3.00,1.00,2.50,5.00,4.50,4.50,3.00,5.00,3.00,3.00,3.50,2.00,2.50,4.50,4.00,4.00,3.00,4.00,3.50,3.00,3.50,2.50,4.00,4.00,4.00,3.50,4.00,2.00,3.50,4.00,3.00,2.00,3.00,3.50,3.50,3.50,5.00,2.50,2.50,2.50,2.00,3.00,2.00,1.00,1.50,4.00,4.00,3.50,4.50,3.50,4.50,3.00,4.00,4.50,3.00,3.50,3.00,3.00,2.50,3.50,3.00,3.50,3.00,3.50,4.00,3.50,4.00,4.50,5.00,4.50,4.00,3.00,3.50,4.50,4.00,4.50,4.00,4.50,5.00,4.00,3.00,4.00,3.00,4.50,4.50,4.00,4.00,3.50,3.50,3.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,3.50,4.00,5.00,4.50,4.00,4.50,3.50,5.00,4.00,4.50,5.00,4.50,4.00,3.50,5.00,5.00,3.50,3.50,4.00,4.50,4.00,4.00,4.50,4.50,5.00,4.00,4.50,4.50,4.00,4.00,4.00,4.50,4.50,5.00,4.00,4.50,4.50,4.50,4.50,5.00,4.50,4.00,4.50,4.50,4.50,4.50,4.50,4.50,4.00,4.00,0
19970108,1.50,2.17,2.00,3.00,3.00,3.17,2.83,3.50,3.17,3.00,2.67,3.67,3.00,2.83,2.83,2.67,2.33,3.33,3.17,3.00,2.50,3.00,3.83,3.50,3.67,3.50,3.33,2.67,2.83,2.67,3.17,2.83,3.17,3.17,3.33,4.17,3.83,2.33,2.33,2.67,2.50,2.00,2.83,1.83,2.50,2.17,2.83,3.50,3.00,3.33,3.00,3.17,2.83,2.33,3.00,3.33,3.33,3.33,2.83,3.67,3.17,3.67,2.83,3.33,3.67,3.33,3.83,3.17,2.83,3.33,3.17,3.50,2.83,3.67,3.67,3.50,3.83,3.83,3.33,3.33,3.83,3.67,3.33,3.50,3.50,3.17,3.17,3.17,3.33,3.33,3.83,3.00,3.17,3.67,3.67,3.17,3.33,3.00,3.67,3.17,3.33,3.33,3.83,3.33,3.50,3.00,3.50,3.83,3.50,3.33,4.00,3.50,3.33,3.50,3.17,3.50,3.67,3.50,3.50,3.67,3.67,3.83,3.83,3.50,3.67,3.83,3.50,3.50,3.67,3.83,3.67,3.67,3.67,3.50,3.83,3.83,3.67,3.67,3.50,3.83,3.33,3.67,3.67,3.50,3.50,3.50,3.50,17
19970243,3.00,2.63,2.63,2.75,2.75,3.00,2.63,3.25,3.38,3.25,3.13,3.25,3.13,3.38,3.25,3.63,3.00,2.75,3.38,3.25,3.25,3.38,3.13,3.88,3.63,3.75,4.00,3.63,3.38,3.50,2.88,3.75,3.88,4.13,3.50,4.25,3.63,2.75,3.13,3.50,3.50,3.25,3.25,3.50,3.00,1.88,2.13,3.13,2.25,3.25,2.50,2.25,2.38,2.50,2.25,2.13,2.13,2.38,2.38,2.25,2.13,2.13,2.25,1.63,1.88,3.13,2.00,2.00,2.25,2.63,2.38,2.50,3.13,2.25,3.00,2.25,3.00,2.25,3.00,3.38,3.25,2.25,2.25,2.38,2.25,3.50,2.63,2.75,2.50,2.50,2.38,3.25,3.25,2.75,3.25,2.38,2.50,2.50,2.38,2.50,2.50,3.38,2.38,2.13,2.38,2.13,2.13,2.13,2.00,3.00,2.13,2.13,2.38,3.00,3.13,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.13,2.13,2.38,2.38,2.38,2.38,2.63,2.75,2.88,2.88,2.88,2.88,2.88,3.00,18
19970851,2.50,2.25,1.75,2.00,2.50,2.25,2.25,2.50,2.75,2.50,2.25,2.25,2.75,2.25,2.50,2.00,3.25,2.25,2.50,2.50,3.25,2.50,3.50,3.00,2.75,3.25,3.25,1.50,3.25,2.25,2.25,2.25,3.00,3.00,3.25,3.50,3.75,2.00,2.75,2.00,2.50,2.00,2.25,1.75,2.25,2.50,2.25,2.50,2.25,2.50,2.25,2.50,2.00,2.25,2.25,1.75,1.75,2.50,2.25,2.00,3.00,3.00,2.25,2.50,2.25,2.75,3.00,3.00,2.25,2.50,2.75,2.50,2.50,2.25,2.00,3.00,2.75,2.75,2.50,2.00,2.50,2.25,2.75,2.50,2.25,2.25,2.25,2.75,2.50,2.50,2.50,2.50,2.75,2.50,2.00,2.00,2.00,2.25,2.25,2.50,2.50,2.50,2.75,2.75,2.00,2.25,2.50,2.75,2.50,2.25,3.00,2.25,2.25,2.75,3.00,2.50,2.75,2.50,2.50,2.50,2.50,2.75,2.75,2.50,2.75,2.75,2.75,2.75,2.50,2.75,2.75,2.50,2.50,2.75,2.75,2.75,2.75,2.50,2.75,2.50,2.75,2.75,2.75,2.75,2.50,2.75,2.75,3
19971127,1.67,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,2.67,2.67,2.33,3.00,2.00,2.00,2.00,2.00,2.00,2.33,2.00,2.67,2.00,2.67,1.33,1.67,2.00,2.33,2.67,2.33,2.00,1.33,2.33,2.00,2.00,2.33,1.67,2.00,1.67,2.00,2.00,2.33,2.00,2.67,2.33,2.33,2.00,2.33,2.00,2.33,2.00,2.33,2.33,2.00,2.00,2.33,2.00,2.33,2.00,2.00,1.67,2.00,2.33,2.00,1.67,1.67,2.00,1.67,1.33,1.67,2.00,2.33,1.67,1.67,1.67,1.67,2.00,2.00,2.00,1.67,2.00,1.67,2.33,1.67,1.67,1.67,2.00,2.00,2.67,2.00,2.33,2.33,2.00,2.33,2.00,2.33,2.00,2.00,2.00,2.67,2.00,2.33,2.67,2.00,2.00,2.33,2.67,2.00,2.67,2.33,2.33,1.33,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,2.00,2.00,0
19987013,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,1.00,3.00,3.00,2.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0
19987126,2.00,2.50,2.17,2.50,3.00,2.33,3.00,2.33,2.00,2.50,3.00,2.50,2.67,2.67,2.33,2.17,2.33,2.17,2.67,2.50,2.67,2.67,3.17,2.67,2.83,2.50,3.33,2.67,2.33,2.33,2.33,2.00,2.50,2.83,2.50,2.83,3.00,1.67,2.00,2.33,1.83,2.00,1.67,2.33,2.33,2.33,2.17,2.33,2.50,2.33,2.50,2.67,2.50,2.50,2.50,2.50,2.17,2.67,2.67,2.67,2.17,2.67,2.17,2.33,2.17,2.33,2.33,2.50,2.67,2.50,2.33,2.00,2.17,2.50,2.50,2.33,2.50,2.17,2.50,2.50,2.50,2.33,2.17,2.67,2.50,2.33,2.33,2.50,2.33,2.17,2.50,2.50,2.17,2.67,2.17,2.50,2.50,2.17,2.17,2.17,2.67,2.00,2.33,2.67,2.33,2.33,2.67,2.50,2.50,2.67,2.50,2.17,2.67,2.50,2.83,2.33,2.17,2.33,2.17,2.17,2.33,2.17,2.17,2.17,2.17,2.33,2.33,2.17,2.17,2.17,2.33,2.17,2.17,2.33,2.33,2.17,2.33,2.17,2.33,2.17,2.33,2.33,2.33,2.17,2.33,2.33,2.50,0
19987713,2.00,2.17,2.67,2.33,3.17,2.83,3.83,2.67,3.17,3.50,3.83,2.83,2.50,3.33,3.33,3.00,2.83,2.67,2.67,3.00,2.83,2.33,3.33,3.50,3.83,3.33,3.33,2.50,2.67,2.50,2.50,2.00,3.17,2.67,2.83,2.67,3.50,1.83,1.50,2.67,1.67,2.67,2.83,2.33,1.83,2.17,2.67,2.17,2.33,2.67,2.50,2.33,2.33,2.83,2.50,2.50,2.50,2.50,2.67,2.17,2.33,2.50,2.50,2.00,2.83,2.33,2.33,2.17,2.50,2.50,2.50,2.33,2.50,2.67,2.83,2.67,2.83,2.67,2.50,2.67,2.67,2.83,2.33,3.00,2.83,2.83,2.67,2.33,2.67,2.50,2.83,2.83,2.33,2.17,2.33,2.67,2.33,2.50,3.17,2.67,2.83,2.67,2.67,1.83,2.50,1.67,2.00,1.83,1.83,1.83,2.00,2.00,2.00,2.17,1.83,2.00,2.00,2.00,2.00,1.83,1.83,2.00,1.83,1.83,2.00,1.83,1.83,2.00,2.00,1.83,2.00,2.00,2.00,1.83,1.83,1.83,2.00,2.00,1.83,2.00,2.00,1.83,2.00,1.83,1.83,1.83,2.33,0
19997760,1.67,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.67,2.00,2.00,2.00,2.33,2.33,2.00,2.00,2.00,2.67,2.00,2.33,2.33,2.00,2.33,2.00,2.33,2.00,1.67,1.67,2.33,2.67,2.00,2.33,1.67,2.00,2.33,1.67,2.00,2.67,2.00,2.00,1.67,2.33,1.33,1.67,2.33,2.00,1.67,1.67,1.67,2.00,1.67,1.67,1.67,2.00,1.67,1.67,2.00,2.33,2.00,2.33,2.00,2.00,2.00,1.67,1.67,2.33,2.00,1.67,2.00,1.67,1.67,2.33,1.67,1.67,1.67,2.33,2.00,2.00,1.67,2.33,2.00,2.33,2.00,2.00,2.00,1.67,1.67,1.67,2.33,1.67,1.67,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,2.00,2.00,1.67,2.33,2.33,2.33,2.33,2.67,2.33,2.67,2.33,2.67,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0
19998614,2.00,1.50,1.83,2.17,2.50,2.00,1.83,2.00,2.17,2.33,2.83,2.17,2.17,2.50,2.50,3.17,2.83,2.50,2.33,2.50,2.33,2.33,3.17,2.83,3.00,3.00,2.50,2.00,2.67,2.33,2.83,2.83,2.33,2.50,2.67,2.83,3.83,1.67,2.33,1.83,1.50,2.00,2.33,2.00,2.50,2.50,2.50,2.33,2.50,2.00,2.00,2.00,2.17,1.83,2.00,2.83,2.00,2.17,2.33,2.17,2.33,2.50,2.67,1.83,1.83,2.33,2.00,2.17,2.33,1.83,2.17,2.17,2.33,2.00,2.17,2.17,2.33,2.17,2.33,2.17,2.33,2.00,2.00,2.33,2.17,2.33,2.67,2.17,2.00,2.00,2.00,2.33,2.33,2.33,2.50,2.50,2.33,2.67,2.33,2.33,2.67,2.50,2.50,2.50,2.50,2.50,2.17,2.83,2.50,2.33,2.50,2.67,2.67,2.67,2.83,2.50,2.33,2.50,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.50,2.33,2.33,2.33,2.50,2.33,2.50,2.50,2.50,2.33,2.50,2.33,2.33,2.33,2.33,2.33,2.33,2.50,2.33,2.50,2.33,2.50,0
19999669,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0
20000398,3.43,2.86,2.71,3.57,3.29,3.00,4.14,3.71,3.86,3.00,3.14,3.14,2.57,2.86,2.57,3.00,3.14,2.86,2.57,2.86,2.86,3.57,4.00,3.57,3.71,3.71,3.29,2.00,2.29,2.86,3.29,2.71,2.57,3.43,3.14,4.00,3.71,3.14,2.43,1.57,2.14,2.43,2.57,2.71,2.71,2.43,3.57,2.86,3.43,3.29,3.14,3.00,3.43,3.14,2.86,2.57,2.86,2.86,2.71,2.71,2.57,3.14,3.00,3.14,3.14,3.29,3.43,4.00,4.14,3.57,3.43,3.43,3.71,4.00,3.43,3.29,3.71,4.14,3.86,3.71,3.43,4.29,3.57,3.43,2.86,3.29,3.43,4.00,3.29,3.86,3.43,4.00,3.00,3.14,3.86,2.86,3.29,4.14,3.14,3.86,3.29,3.29,3.43,3.71,3.71,3.57,3.57,3.71,3.86,3.14,3.14,3.57,3.29,3.29,3.71,3.43,3.86,3.71,3.71,3.86,3.71,3.71,3.29,3.71,3.71,3.57,3.43,3.57,3.57,3.43,3.43,3.57,3.71,3.71,3.71,3.57,3.43,3.86,4.00,3.57,3.57,3.71,3.57,3.43,3.71,3.86,3.86,0
20002278,1.86,2.57,2.14,3.00,3.14,2.57,2.57,2.57,3.29,3.00,2.57,2.71,2.43,2.43,2.71,3.00,2.29,2.14,2.57,2.57,2.57,2.57,3.43,2.71,2.71,3.29,2.43,1.86,2.57,2.29,2.57,3.00,2.43,3.14,2.71,3.14,3.14,1.71,2.00,2.14,2.29,2.43,2.14,2.71,1.86,2.14,3.14,2.86,2.43,3.00,3.00,3.00,2.86,2.57,3.00,2.86,2.57,2.86,2.71,3.14,2.29,3.00,3.00,3.14,3.57,3.29,3.29,3.00,3.29,3.00,3.29,3.00,2.71,3.43,2.86,2.57,3.43,3.00,3.14,3.14,3.43,3.00,3.29,2.86,3.43,3.29,3.57,3.14,3.14,3.29,3.29,2.86,2.86,2.86,3.14,3.57,3.00,2.86,3.00,2.71,2.71,3.00,2.86,3.14,3.14,3.57,3.14,3.29,3.43,3.14,3.29,3.29,3.43,3.71,3.14,3.29,3.57,3.43,3.43,3.29,3.00,3.43,3.29,3.43,3.29,3.29,3.43,3.43,3.29,3.43,3.43,3.29,3.14,3.43,3.43,3.29,3.29,3.29,3.43,3.29,3.29,3.43,3.29,3.29,3.43,3.29,3.14,0
20010206,1.67,1.33,2.00,2.00,2.00,2.00,2.00,2.33,2.33,2.33,2.00,3.00,2.00,2.67,2.00,2.33,2.00,2.00,2.67,2.00,2.33,2.33,2.33,2.33,2.00,2.00,2.67,1.33,2.33,2.67,2.33,2.33,2.33,1.33,1.33,1.67,2.00,1.33,2.67,2.33,2.67,2.00,1.67,1.33,1.33,2.00,2.00,2.33,2.33,2.33,2.33,2.00,2.33,2.67,2.00,2.33,2.00,2.00,2.00,2.33,2.67,2.00,2.33,2.00,2.33,1.67,1.67,2.00,2.00,2.00,2.00,2.00,2.00,1.67,2.00,2.00,2.00,1.67,2.33,2.00,1.67,2.00,1.67,2.00,2.00,2.00,2.00,1.67,1.67,1.67,2.33,2.00,2.33,2.33,2.67,2.00,2.00,2.00,2.00,2.33,2.00,2.33,2.33,1.67,2.33,2.33,2.33,2.33,2.33,2.33,2.67,3.00,2.67,2.33,2.33,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,2.00,2.00,0
20010247,1.80,2.00,2.00,2.00,2.00,2.00,2.00,2.20,2.00,2.00,2.00,2.00,2.00,2.00,2.20,2.60,2.20,2.00,2.80,2.40,2.40,2.00,3.00,2.60,2.60,2.40,2.80,2.00,2.20,2.20,2.40,2.20,2.60,2.80,2.60,2.40,2.40,1.80,2.00,2.60,2.00,2.00,1.80,1.40,2.60,2.00,2.20,2.00,1.80,2.00,2.00,2.00,2.00,2.00,2.20,2.20,2.20,2.20,2.60,2.20,2.00,2.20,2.40,2.00,2.20,2.00,1.80,2.00,2.00,2.00,2.00,2.00,1.60,2.20,1.80,2.40,2.20,2.20,2.00,2.20,2.60,2.20,1.80,2.00,2.00,2.00,2.00,2.40,2.00,2.20,2.20,1.80,2.40,2.00,2.00,2.20,2.20,1.80,2.20,2.40,2.40,2.00,2.00,2.20,2.20,2.00,2.80,2.40,2.40,2.40,2.40,2.60,2.60,2.40,2.20,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,2.00,2.00,0
20020252,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.33,2.00,2.00,2.67,3.00,2.00,2.33,2.00,3.00,2.67,2.00,3.00,2.33,2.33,2.00,1.67,2.33,2.00,2.67,2.67,1.67,2.33,1.33,2.67,2.00,2.00,2.33,2.33,2.00,1.67,2.00,2.33,1.67,2.33,2.00,2.00,2.33,2.33,2.67,2.33,2.00,2.33,2.33,2.00,2.33,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.67,2.00,2.33,2.00,1.67,1.33,1.67,2.00,1.67,2.00,1.67,1.67,1.67,1.67,2.00,1.67,1.67,2.00,1.67,1.67,2.00,1.67,2.00,2.33,2.00,2.67,2.00,2.67,2.33,2.67,2.33,2.33,2.00,2.33,2.33,2.33,2.00,2.33,2.67,2.33,2.67,2.33,2.67,2.67,2.33,2.00,2.33,2.33,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,2.00,2.00,0
20022214,4.00,3.67,1.17,4.50,4.17,3.67,3.33,3.83,3.33,3.50,3.67,3.00,3.17,3.83,2.67,2.33,2.67,3.00,2.83,2.50,3.00,2.83,3.83,4.17,4.17,3.50,4.00,2.00,2.83,3.17,3.33,3.83,2.67,3.50,3.83,4.17,3.83,2.17,2.83,2.00,2.67,2.00,2.50,2.00,1.50,1.33,3.33,3.50,2.67,3.50,3.17,3.17,3.67,3.17,2.83,3.17,3.33,3.17,3.00,3.00,3.17,3.17,2.50,3.17,3.33,3.83,3.50,3.33,3.67,3.67,3.50,3.17,3.67,4.00,3.17,3.50,3.00,3.50,4.00,3.83,3.67,3.33,3.50,3.67,3.33,3.33,3.33,3.17,3.50,3.17,3.17,3.83,3.33,3.17,3.50,3.67,4.00,3.17,3.67,3.83,3.50,3.33,3.67,3.67,2.83,3.33,3.00,3.83,3.17,3.50,3.50,3.33,3.67,3.00,3.83,3.50,3.50,3.50,3.67,3.67,3.83,4.00,4.00,3.50,3.50,3.83,3.50,3.50,3.83,4.00,3.67,3.67,3.67,3.50,3.67,3.67,3.83,3.67,3.67,3.67,3.83,3.33,3.83,4.00,3.50,3.67,3.83,0
20024693,1.75,2.25,2.50,3.00,3.00,2.25,2.75,3.50,2.00,2.75,3.25,2.25,2.00,2.75,3.50,2.75,3.00,2.50,2.75,3.00,2.50,3.00,3.75,3.75,3.25,4.00,4.00,2.00,3.75,3.00,3.25,2.75,2.50,3.50,4.00,4.00,4.00,2.25,2.25,3.00,1.75,1.75,2.25,3.00,2.00,2.50,3.00,2.50,2.75,2.25,2.75,3.25,3.25,2.75,3.00,3.00,2.00,2.75,2.75,2.75,3.00,2.75,2.75,3.25,3.50,3.00,3.25,3.50,3.25,3.25,2.75,3.75,3.00,3.00,3.25,3.50,3.50,3.25,3.25,3.50,2.75,3.25,2.75,2.75,3.75,2.75,2.75,3.25,3.50,3.75,3.25,3.00,3.50,3.25,2.75,3.50,2.75,3.00,3.50,3.25,3.25,3.25,3.25,3.00,3.25,3.00,3.25,3.00,3.00,3.00,2.75,2.75,2.50,3.00,3.25,3.25,3.00,3.25,3.00,3.50,3.50,3.50,3.50,3.00,3.25,3.25,3.50,3.00,3.50,3.25,3.25,3.50,3.50,3.25,3.25,3.00,3.25,3.25,3.25,3.25,3.00,3.00,3.50,3.00,3.25,3.25,3.00,0
